trial,plan iters,plan time,best cost
0,10,0.13551855087280273,20.0
0,300,30,20.0
1,10,0.13946533203125,25.0
1,30,0.3359944820404053,24.0
1,100,1.2539992332458496,2.0
1,300,30,2.0
2,10,0.11195182800292969,24.0
2,300,30,24.0
3,10,0.06963276863098145,34.0
3,100,1.2978074550628662,31.0
3,300,30,31.0
4,20,0.18995904922485352,72.0
4,30,0.20174717903137207,44.0
4,70,0.6386351585388184,40.0
4,100,0.9603164196014404,38.0
4,260,3.0323967933654785,30.0
4,300,30,30.0
5,10,0.06970000267028809,51.0
5,20,0.1403203010559082,17.0
5,300,30,17.0
6,10,0.0402371883392334,19.0
6,300,30,19.0
7,10,0.09178781509399414,16.0
7,300,30,16.0
8,20,0.15815472602844238,34.0
8,300,30,34.0
9,10,0.019417524337768555,9.0
9,300,30,9.0
10,20,0.15848970413208008,43.0
10,40,0.3460981845855713,36.0
10,70,0.7074220180511475,23.0
10,300,30,23.0
11,10,0.026839256286621094,21.0
11,30,0.18262982368469238,17.0
11,300,30,17.0
12,10,0.09470725059509277,11.0
12,70,0.8653647899627686,9.0
12,300,30,9.0
13,10,0.007127523422241211,12.0
13,300,30,12.0
14,10,0.03352856636047363,8.0
14,20,0.047347068786621094,5.0
14,300,30,5.0
15,10,0.17863726615905762,62.0
15,20,0.20246315002441406,44.0
15,110,1.3666901588439941,42.0
15,300,30,42.0
16,10,0.10370326042175293,14.0
16,300,30,14.0
17,20,0.13036465644836426,31.0
17,300,30,31.0
18,10,0.13266801834106445,26.0
18,20,0.15629029273986816,21.0
18,300,30,21.0
19,10,0.11679911613464355,42.0
19,40,0.40883874893188477,27.0
19,300,30,27.0
20,10,0.04446148872375488,31.0
20,300,30,31.0
21,10,0.05450105667114258,37.0
21,300,30,37.0
22,10,0.07439160346984863,35.0
22,60,0.625666618347168,32.0
22,300,30,32.0
23,10,0.16751885414123535,54.0
23,20,0.2408154010772705,25.0
23,300,30,25.0
24,30,0.2625715732574463,53.0
24,40,0.2950458526611328,33.0
24,300,30,33.0
25,10,0.017659425735473633,31.0
25,300,30,31.0
26,10,0.019624948501586914,21.0
26,300,30,21.0
27,10,0.09740471839904785,47.0
27,300,30,47.0
28,10,0.06901383399963379,27.0
28,300,30,27.0
29,30,0.4155561923980713,41.0
29,300,30,41.0
30,20,0.22856998443603516,68.0
30,30,0.3331899642944336,43.0
30,60,0.650162935256958,34.0
30,300,30,34.0
31,10,0.15043401718139648,26.0
31,300,30,26.0
32,20,0.23082351684570312,72.0
32,30,0.24059295654296875,35.0
32,50,0.5360829830169678,33.0
32,300,30,33.0
33,20,0.13661551475524902,48.0
33,30,0.17044734954833984,25.0
33,300,30,25.0
34,10,0.1521596908569336,28.0
