trial,plan iters,plan time,best cost
0,10,0.024166584014892578,19.0
0,300,30,19.0
1,10,0.036977529525756836,22.0
1,300,30,22.0
2,10,0.07140302658081055,37.0
2,60,0.2933042049407959,14.0
2,300,30,14.0
3,30,0.15588927268981934,94.0
3,40,0.20476150512695312,85.0
3,50,0.25008058547973633,78.0
3,80,0.3401682376861572,66.0
3,200,0.9667742252349854,50.0
3,300,30,50.0
4,20,0.08414673805236816,52.0
4,110,0.4111802577972412,45.0
4,160,0.6343603134155273,28.0
4,300,30,28.0
5,10,0.05618643760681152,30.0
5,300,30,30.0
6,10,0.040960073471069336,29.0
6,30,0.11817812919616699,23.0
6,300,30,23.0
7,10,0.021691322326660156,43.0
7,30,0.10642790794372559,41.0
7,300,30,41.0
8,20,0.0741114616394043,61.0
8,30,0.12490391731262207,53.0
8,50,0.17410945892333984,44.0
8,220,0.9751536846160889,38.0
8,300,30,38.0
9,10,0.0630960464477539,57.0
9,60,0.22237467765808105,41.0
9,110,0.4123873710632324,23.0
9,190,0.7557446956634521,18.0
9,300,30,18.0
10,10,0.017818450927734375,24.0
10,30,0.0919487476348877,23.0
10,300,30,23.0
11,10,0.04271507263183594,35.0
11,110,0.46540307998657227,34.0
11,150,0.6670458316802979,31.0
11,180,0.8033337593078613,25.0
11,300,30,25.0
12,20,0.07782697677612305,43.0
12,240,1.0774681568145752,33.0
12,300,30,33.0
13,20,0.10474085807800293,72.0
13,30,0.1089012622833252,41.0
13,160,0.6747517585754395,27.0
13,300,30,27.0
14,10,0.021744728088378906,46.0
14,300,30,46.0
15,10,0.04435586929321289,53.0
15,300,30,53.0
16,10,0.06549787521362305,36.0
16,160,0.7816150188446045,25.0
16,300,30,25.0
17,20,0.09633398056030273,68.0
17,30,0.14182829856872559,64.0
17,40,0.1480724811553955,33.0
17,50,0.17966294288635254,14.0
17,210,0.9597046375274658,13.0
17,300,30,13.0
18,10,0.00431370735168457,10.0
18,300,30,10.0
19,20,0.10836315155029297,35.0
19,30,0.11319446563720703,22.0
19,300,30,22.0
20,20,0.08097362518310547,3.0
20,300,30,3.0
21,10,0.06801342964172363,26.0
21,300,30,26.0
22,10,0.035392045974731445,21.0
22,300,30,21.0
23,30,0.142822265625,37.0
23,300,30,37.0
24,10,0.0034575462341308594,16.0
24,300,30,16.0
25,10,0.06576871871948242,65.0
25,300,30,65.0
26,10,0.05864715576171875,23.0
26,20,0.07692313194274902,17.0
26,300,30,17.0
27,10,0.042130470275878906,46.0
27,100,0.5105721950531006,36.0
27,300,30,36.0
28,10,0.06715607643127441,54.0
28,20,0.11847066879272461,50.0
28,290,1.7647366523742676,41.0
28,300,30,41.0
29,40,0.2232377529144287,47.0
29,190,0.9411334991455078,36.0
29,300,30,36.0
30,10,0.015846729278564453,20.0
30,300,30,20.0
31,10,0.028256893157958984,44.0
31,20,0.03138899803161621,26.0
31,300,30,26.0
32,10,0.012374162673950195,17.0
32,300,30,17.0
33,10,0.011775016784667969,21.0
33,300,30,21.0
34,20,0.052620887756347656,22.0
34,300,30,22.0
35,20,0.06071329116821289,49.0
35,300,30,49.0
36,10,0.020809412002563477,28.0
36,240,1.1288011074066162,25.0
36,300,30,25.0
37,10,0.04536747932434082,27.0
37,20,0.048796653747558594,22.0
37,300,30,22.0
38,20,0.05225396156311035,72.0
38,270,1.1840167045593262,57.0
38,300,30,57.0
39,10,0.04071164131164551,16.0
39,300,30,16.0
40,10,0.013555288314819336,39.0
40,40,0.10659670829772949,34.0
40,300,30,34.0
41,10,0.011913537979125977,22.0
41,300,30,22.0
42,10,0.03847098350524902,17.0
42,290,1.775557518005371,16.0
42,300,30,16.0
43,20,0.09880852699279785,61.0
43,30,0.1042938232421875,49.0
43,100,0.42950963973999023,43.0
43,110,0.493938684463501,30.0
43,240,1.1841976642608643,27.0
43,300,30,27.0
44,10,0.006726503372192383,47.0
44,300,30,47.0
45,30,0.08258962631225586,89.0
45,60,0.16819477081298828,42.0
45,70,0.20317840576171875,30.0
45,300,30,30.0
46,10,0.014237642288208008,24.0
46,300,30,24.0
47,30,0.1376662254333496,52.0
47,110,0.44059085845947266,49.0
47,270,1.376488208770752,37.0
