trial,plan iters,plan time,best cost
0,270,0.48110342025756836,20.0
0,300,30,20.0
1,300,30,inf
2,20,0.040377140045166016,35.0
2,300,30,35.0
3,20,0.022459030151367188,56.0
3,50,0.07503819465637207,52.0
3,300,30,52.0
4,140,0.3152427673339844,33.0
4,300,30,33.0
5,60,0.14093017578125,42.0
5,300,30,42.0
6,80,0.13988280296325684,133.0
6,90,0.15948963165283203,84.0
6,300,30,84.0
7,30,0.059676170349121094,58.0
7,230,0.45595717430114746,29.0
7,300,30,29.0
8,30,0.03124690055847168,38.0
8,300,30,38.0
9,300,30,inf
10,100,0.15423202514648438,109.0
10,260,0.4776909351348877,87.0
10,300,30,87.0
11,80,0.14196395874023438,111.0
11,300,30,111.0
12,300,30,inf
13,270,0.45638251304626465,71.0
13,280,0.4832754135131836,34.0
13,300,30,34.0
14,20,0.029377222061157227,40.0
14,300,30,40.0
15,180,0.36937379837036133,78.0
15,270,0.5860695838928223,67.0
15,290,0.6043670177459717,63.0
15,300,30,63.0
16,150,0.32378625869750977,63.0
16,300,30,63.0
17,30,0.03428387641906738,4.0
17,300,30,4.0
18,170,0.32557129859924316,78.0
18,300,30,78.0
19,30,0.045278072357177734,40.0
19,300,30,40.0
20,110,0.18972373008728027,50.0
20,300,30,50.0
21,260,0.5975160598754883,66.0
21,300,30,66.0
22,160,0.5663027763366699,22.0
22,300,30,22.0
23,100,0.22150683403015137,54.0
23,300,30,54.0
24,200,0.49114489555358887,78.0
24,300,30,78.0
25,210,0.3600597381591797,54.0
25,240,0.4101729393005371,50.0
25,300,30,50.0
26,300,30,inf
27,290,0.5189669132232666,87.0
27,300,30,87.0
28,30,0.04411721229553223,69.0
28,280,0.4177134037017822,38.0
28,300,30,38.0
29,200,0.2979736328125,64.0
29,300,30,64.0
30,300,30,inf
31,70,0.15562963485717773,102.0
31,170,0.3026888370513916,58.0
31,300,30,58.0
32,20,0.020041465759277344,25.0
32,300,30,25.0
33,300,30,inf
34,220,0.3456709384918213,97.0
34,300,30,97.0
35,10,0.0029854774475097656,4.0
35,300,30,4.0
36,20,0.028392314910888672,62.0
36,50,0.05848097801208496,9.0
36,300,30,9.0
37,250,0.4495863914489746,22.0
37,300,30,22.0
38,300,30,inf
39,140,0.29366111755371094,51.0
39,300,30,51.0
40,60,0.13273882865905762,116.0
40,80,0.14397692680358887,71.0
40,300,30,71.0
41,60,0.07880377769470215,73.0
41,300,30,73.0
42,130,0.23316454887390137,40.0
42,300,30,40.0
43,210,0.4856102466583252,64.0
43,300,30,64.0
44,200,0.33649420738220215,95.0
44,230,0.3704695701599121,87.0
44,300,30,87.0
45,40,0.06395363807678223,138.0
45,130,0.27506494522094727,53.0
45,300,30,53.0
46,300,30,inf
47,130,0.22758913040161133,86.0
47,240,0.39815497398376465,34.0
47,300,30,34.0
48,80,0.16049981117248535,78.0
48,300,30,78.0
49,260,0.4395558834075928,43.0
49,300,30,43.0
50,300,30,inf
51,60,0.11078310012817383,100.0
51,90,0.15279674530029297,97.0
51,110,0.1991128921508789,80.0
51,300,30,80.0
52,300,30,inf
53,20,0.01577019691467285,52.0
53,50,0.04795265197753906,19.0
53,300,30,19.0
54,50,0.07913351058959961,103.0
54,120,0.20848798751831055,51.0
54,180,0.33400988578796387,39.0
54,300,30,39.0
55,120,0.2736937999725342,105.0
55,170,0.3508474826812744,103.0
55,300,30,103.0
56,90,0.10512351989746094,85.0
56,300,30,85.0
57,300,30,inf
58,300,30,inf
59,140,0.16027069091796875,131.0
59,300,30,131.0
60,130,0.23749828338623047,85.0
60,300,30,85.0
61,140,0.2680974006652832,87.0
61,200,0.3804047107696533,25.0
61,300,30,25.0
62,90,0.12825655937194824,5.0
62,300,30,5.0
63,40,0.10808348655700684,130.0
63,300,30,130.0
64,220,0.3859059810638428,67.0
64,230,0.42018866539001465,57.0
64,300,30,57.0
65,70,0.11619424819946289,142.0
65,300,30,142.0
66,30,0.03145599365234375,105.0
66,300,30,105.0
67,60,0.16512656211853027,50.0
67,140,0.46213412284851074,48.0
67,300,30,48.0
68,10,0.024760723114013672,44.0
68,250,0.4699242115020752,42.0
68,300,30,42.0
69,80,0.11179184913635254,70.0
69,300,30,70.0
70,300,30,inf
71,110,0.20755338668823242,65.0
71,170,0.3144192695617676,52.0
71,300,30,52.0
72,80,0.11293148994445801,104.0
72,300,30,104.0
73,240,0.44982361793518066,32.0
73,300,30,32.0
74,20,0.024021148681640625,49.0
74,300,30,49.0
75,190,0.3200411796569824,116.0
75,300,30,116.0
76,170,0.32518506050109863,35.0
76,300,30,35.0
77,70,0.13424968719482422,95.0
77,100,0.18070483207702637,45.0
77,300,30,45.0
78,10,0.010914087295532227,26.0
78,300,30,26.0
79,300,30,inf
80,220,0.40424489974975586,84.0
80,300,30,84.0
81,120,0.2571108341217041,32.0
81,300,30,32.0
82,60,0.07700371742248535,31.0
82,300,30,31.0
83,260,0.4436957836151123,90.0
83,280,0.48476529121398926,75.0
83,300,30,75.0
84,100,0.258284330368042,77.0
84,300,30,77.0
85,300,30,inf
86,190,0.3685603141784668,31.0
86,300,30,31.0
87,180,0.2554492950439453,20.0
